actor_name;supply;gain;highest;actor_name;supply;gain;highest;supply;move;y;demand;supply;move;y;demand;dp;dq;nbs_0;nbs_1;nbs_0;nbs_1
PVV;duur;1.077966825515363491483356029;False;PvdA;vreemd;0.215013680951977759203685991;False;0;21.43296167573499230622022977;21.43296167573499230622022977;75;20;80;100;100;1.751441567892682460438891212106682360172271728515625;1.4647566599567121148339765568380244076251983642578125;66.61897959562282512767643465;68.08373625557953724251041123;45.20102140284642840033867341;59.92436442409717783176272807
CDA;duur;0.2180359825163151743510070446;False;GL;vreemd;1.054202079062936336928402170;False;55;28.12198998929078852755585755;83.12198998929078852755585755;100;0;55;55;55;0.8581865929387004765516167026362381875514984130859375;1.8323698456988386507049426654702983796596527099609375;66.61897959562282512767643465;68.45134944132166377838137731;45.20102140284642840033867341;49.79293893151782729824291059
GL;ontwikkeling;0.4606605461717747651562149255;False;PVV;belasting;1.050327344692528463987457599;False;80;-22.61671349772513116541606934;57.38328650227486883458393066;0;60;-50;10;10;1.661853375955608225211790340836159884929656982421875;1.822215714681424625354111412889324128627777099609375;57.43659631394382899320881274;55.61438059926240436785470131;45.96638508484861009786494991;43.38778872515719790443780708
VVD;ontwikkeling;1.041560404004265005806217914;False;SGP;hypotheek;0.3344148412517125246168347981;False;25;18.72159778269677933273785463;43.72159778269677933273785463;60;90;-90;0;0;1.8556090737713344385184655038756318390369415283203125;1.803170540196256776965810786350630223751068115234375;57.43659631394382899320881274;59.23976685414008577017462354;50.84091350762240100618851816;46.90003966558311286636886211
CDA;duur;0.4407358399336436249882353879;False;GL;zorg;1.034762939023768424373628250;False;55;29.83941128977497762555334767;84.83941128977497762555334767;100;70;-25;45;45;1.6245936069199391482698047184385359287261962890625;1.9442734131407768405352953777764923870563507080078125;66.61897959562282512767643465;68.56325300876360196821173005;53.88523134505072180041496943;52.80553344121641121721167700
VVD;ontwikkeling;1.032945551000785167072848481;False;GL;hypotheek;0.166740756042037030493219163;False;25;13.91054931537133271085002806;38.91054931537133271085002806;80;80;-80;0;0;1.6514350834430724379586763461702503263950347900390625;1.3397944456753341224697351208305917680263519287109375;57.43659631394382899320881274;58.77639075961916311567854785;50.84091350762240100618851816;45.58641505157001681976231009
PVV;belasting;1.024713203199526634357141574;False;GL;AOW;0.2102446315893894412951681263;False;60;-31.96899932168462098203726861;28.03100067831537901796273139;10;75;-75;0;0;1.599288499834490284712273933109827339649200439453125;1.6487029054774637870650622062385082244873046875;45.96638508484861009786494991;44.31768217937114631079988769;61.61579197484940592563332300;56.92362228283090953728820742
VVD;belasting;1.018986822198262598426765635;False;PvdD;zorg;0.3169286896579979195820442328;False;60;-3.142422706930060716693431761;56.85757729306993928330656824;45;90;-90;0;0;1.81197929237088573017899761907756328582763671875;0.6797717121505939541492580246995203197002410888671875;45.96638508484861009786494991;45.28661337269801614371569188;53.88523134505072180041496943;51.16881162364986848259505913
VVD;ontwikkeling;1.017586798016468296879111222;False;SGP;ontslag;0.5154906951011058779954510098;False;25;20.17331494220946875842937506;45.17331494220946875842937506;60;15;85;100;100;2.1115104290849888712955362279899418354034423828125;1.9429926667644306093052364303730428218841552734375;57.43659631394382899320881274;59.37958898070825960251404919;45.65208526363549625570619116;48.69426471143034395197095893
CDA;duur;0.2736799768900458840192868593;False;PvdD;huur;1.015558808504138854633680466;False;55;30.07353216683851389501130924;85.07353216683851389501130924;100;25;25;50;50;2.114982544276822640227919691824354231357574462890625;1.9595282381209135902366824666387401521205902099609375;66.61897959562282512767643465;68.57850783374373871791311712;41.61925375546712808571343878;42.57753899204255823273266699
VVD;ontwikkeling;1.000388051168136160917754296;False;GL;zorg;0.5721844255086661279463555734;False;25;20.26923063200594600599753460;45.26923063200594600599753460;80;70;-70;0;0;1.9792004060345680382937416652566753327846527099609375;1.9522307856574376838665330069488845765590667724609375;57.43659631394382899320881274;59.38882709960126667707534575;53.88523134505072180041496943;50.86207721431465216744575063
VVD;duur;0.380707894904322929896522965;False;PvdD;hypotheek;0.9947944257160662551164875821;False;30;13.14791013094149532252516800;43.14791013094149532252516800;100;70;-70;0;0;1.590952955334019147670687743811868131160736083984375;1.8844956877716587673177173201111145317554473876953125;66.61897959562282512767643465;68.50347528339448389499415197;50.84091350762240100618851816;48.16328581115036659732354667
VVD;ontwikkeling;0.9748891150773396629958256202;False;CU;hypotheek;0.337334947996713641060750888;False;25;18.07773661510038026251196580;43.07773661510038026251196580;70;100;-100;0;0;1.759317829347225359271078559686429798603057861328125;1.74115705700631107077924752957187592983245849609375;57.43659631394382899320881274;59.17775337095014006398806026;50.84091350762240100618851816;44.61101821466354127660523134
PVV;belasting;0.9746687418536354785558728513;False;PvdA;Europa;0.3805120933802443539129001237;False;60;-28.55720585106350172411387637;31.44279414893649827588612363;20;30;70;100;100;1.5738819823963325905680221694638021290302276611328125;1.472750141010212843184490338899195194244384765625;45.96638508484861009786494991;44.49363494383839725468045958;52.79836663826379391835292534;65.01819570264175998424313884
PvdA;ontwikkeling;0.053204167126449142255495417;False;PVV;belasting;0.9746491545251897092860815516;False;70;-11.22266933919621407650287154;58.77733066080378592349712846;0;60;-40;20;20;1.6455899535213749373951941379345953464508056640625;1.7274425183312966947113409332814626395702362060546875;57.43659631394382899320881274;55.70915379561253229849747183;45.96638508484861009786494991;43.90350799709548034312323565
VVD;ontwikkeling;0.9598415120700275693366165795;False;PvdD;zorg;0.0229078575875884205004240357;False;25;18.86100624366784716704273196;43.86100624366784716704273196;100;90;-90;0;0;1.87386730896487829767238508793525397777557373046875;1.8165976649959072464213249986642040312290191650390625;57.43659631394382899320881274;59.25319397893973623963013776;53.88523134505072180041496943;51.16881162364986848259505913
